"REF_DATE","GEO","DGUID","Age group","Type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Nova Scotia","2021A000212","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915485","4.2.2","45","C","","","0"
"1995/1996","Nova Scotia","2021A000212","20 to 24 years","College","Percent","239","units","0","v99915486","4.2.3","36","B","","","0"
"1995/1996","Nova Scotia","2021A000212","20 to 24 years","University","Percent","239","units","0","v99915487","4.2.4","42","B","","","0"
"1995/1996","Nova Scotia","2021A000212","25 to 29 years","Total type of institution attended","Percent","239","units","0","v99915488","4.3.1","48","B","","","0"
"1995/1996","Nova Scotia","2021A000212","25 to 29 years","Elementary/High School","Percent","239","units","0","v99915489","4.3.2","","x","","","0"
"1995/1996","Nova Scotia","2021A000212","25 to 29 years","College","Percent","239","units","0","v99915490","4.3.3","41","C","","","0"
"1995/1996","Nova Scotia","2021A000212","25 to 29 years","University","Percent","239","units","0","v99915491","4.3.4","57","B","","","0"
"1995/1996","New Brunswick","2021A000213","15 to 19 years","Total type of institution attended","Percent","239","units","0","v99915492","5.1.1","25","B","","","0"
"1995/1996","New Brunswick","2021A000213","15 to 19 years","Elementary/High School","Percent","239","units","0","v99915493","5.1.2","27","B","","","0"
"1995/1996","New Brunswick","2021A000213","15 to 19 years","College","Percent","239","units","0","v99915494","5.1.3","","x","","","0"
"1995/1996","New Brunswick","2021A000213","15 to 19 years","University","Percent","239","units","0","v99915495","5.1.4","19","C","","","0"
"1995/1996","New Brunswick","2021A000213","20 to 24 years","Total type of institution attended","Percent","239","units","0","v99915496","5.2.1","25","B","","","0"
"1995/1996","New Brunswick","2021A000213","20 to 24 years","Elementary/High School","Percent","239","units","0","v99915497","5.2.2","","x","","","0"
"1995/1996","New Brunswick","2021A000213","20 to 24 years","College","Percent","239","units","0","v99915498","5.2.3","17","C","","","0"
